time	rating	timestamp	x
4.827	48	1590158172462.0	
14.783	73	1590158182418.0	
16.552	96	1590158184187.0	
17.877	4	1590158185512.0	
19.703	98	1590158187338.0	
28.261	22	1590158195896.0	
31.382	23	1590158199017.0	
35.177	60	1590158202812.0	
38.734	25	1590158206369.0	
39.365	47	1590158207000.0	
42.347	32	1590158209982.0	
45.929	86	1590158213564.0	
46.777	94	1590158214412.0	
51.286	16	1590158218921.0	
54.62	70	1590158222255.0	
58.103	52	1590158225738.0	
64.805	95	1590158232440.0	
67.7	82	1590158235335.0	
69.476	87	1590158237111.0	
