time	rating	timestamp	x
9.386	22	1590158177021.0	
14.774	27	1590158182409.0	
19.994	21	1590158187629.0	
23.863	6	1590158191498.0	
24.425	90	1590158192060.0	
26.174	66	1590158193809.0	
26.225	86	1590158193860.0	
26.823	65	1590158194458.0	
28.917	11	1590158196552.0	
29.482	98	1590158197117.0	
34.507	42	1590158202142.0	
37.873	32	1590158205508.0	
39.556	61	1590158207191.0	
48.14	47	1590158215775.0	
49.685	77	1590158217320.0	
52.512	83	1590158220147.0	
52.895	79	1590158220530.0	
54.811	73	1590158222446.0	
60.378	89	1590158228013.0	
