time	rating	timestamp	x
3.904	1	1590158171539.0	
4.972	44	1590158172607.0	
6.495	57	1590158174130.0	
10.653	70	1590158178288.0	
11.55	15	1590158179185.0	
15.09	64	1590158182725.0	
18.251	72	1590158185886.0	
21.421	58	1590158189056.0	
21.583	37	1590158189218.0	
23.144	10	1590158190779.0	
23.263	74	1590158190898.0	
23.916	26	1590158191551.0	
24.814	32	1590158192449.0	
49.931	8	1590158217566.0	
50.102	73	1590158217737.0	
54.382	27	1590158222017.0	
56.203	99	1590158223838.0	
60.258	28	1590158227893.0	
65.051	94	1590158232686.0	
