time	rating	timestamp	x
6.658	21	1590158174293.0	
8.392	96	1590158176027.0	
13.186	10	1590158180821.0	
15.984	17	1590158183619.0	
18.028	78	1590158185663.0	
18.558	70	1590158186193.0	
22.027	47	1590158189662.0	
27.58	38	1590158195215.0	
30.927	93	1590158198562.0	
33.561	15	1590158201196.0	
34.517	41	1590158202152.0	
36.089	86	1590158203724.0	
37.942	76	1590158205577.0	
39.793	46	1590158207428.0	
55.184	36	1590158222819.0	
60.278	62	1590158227913.0	
66.738	74	1590158234373.0	
67.311	18	1590158234946.0	
