time	rating	timestamp	x
1.487	77	1590158169122.0	
1.844	37	1590158169479.0	
5.845	30	1590158173480.0	
6.095	15	1590158173730.0	
13.529	74	1590158181164.0	
19.652	21	1590158187287.0	
19.925	3	1590158187560.0	
24.096	50	1590158191731.0	
28.645	69	1590158196280.0	
29.54	83	1590158197175.0	
31.334	29	1590158198969.0	
32.452	44	1590158200087.0	
35.842	47	1590158203477.0	
37.218	61	1590158204853.0	
41.03	63	1590158208665.0	
48.344	13	1590158215979.0	
48.472	18	1590158216107.0	
55.157	95	1590158222792.0	
61.929	56	1590158229564.0	
