time	rating	timestamp	x
0.593	99	1590158168228.0	
6.754	17	1590158174389.0	
11.787	55	1590158179422.0	
15.904	2	1590158183539.0	
16.325	95	1590158183960.0	
17.516	33	1590158185151.0	
18.607	13	1590158186242.0	
23.157	73	1590158190792.0	
27.267	79	1590158194902.0	
30.166	82	1590158197801.0	
31.833	93	1590158199468.0	
33.862	92	1590158201497.0	
43.675	49	1590158211310.0	
43.923	86	1590158211558.0	
47.411	78	1590158215046.0	
49.343	98	1590158216978.0	
55.71	22	1590158223345.0	
59.461	23	1590158227096.0	
65.234	90	1590158232869.0	
65.404	35	1590158233039.0	
67.306	97	1590158234941.0	
68.264	43	1590158235899.0	
69.806	9	1590158237441.0	
