time	rating	timestamp	x
2.431	4	1590158170066.0	
2.492	59	1590158170127.0	
3.735	84	1590158171370.0	
7.458	43	1590158175093.0	
9.699	1	1590158177334.0	
9.702	34	1590158177337.0	
14.01	82	1590158181645.0	
20.554	15	1590158188189.0	
26.642	27	1590158194277.0	
29.689	46	1590158197324.0	
31.385	42	1590158199020.0	
42.13	64	1590158209765.0	
45.013	13	1590158212648.0	
46.455	68	1590158214090.0	
50.256	8	1590158217891.0	
52.115	93	1590158219750.0	
53.635	87	1590158221270.0	
59.929	39	1590158227564.0	
63.734	40	1590158231369.0	
65.45	3	1590158233085.0	
