time	rating	timestamp	x
1.605	40	1590158169240.0	
8.24	61	1590158175875.0	
12.48	68	1590158180115.0	
12.776	88	1590158180411.0	
13.281	44	1590158180916.0	
19.749	89	1590158187384.0	
21.637	64	1590158189272.0	
35.129	38	1590158202764.0	
38.027	14	1590158205662.0	
38.144	96	1590158205779.0	
45.753	16	1590158213388.0	
46.477	50	1590158214112.0	
46.9	53	1590158214535.0	
48.67	19	1590158216305.0	
54.33	59	1590158221965.0	
54.836	73	1590158222471.0	
56.284	30	1590158223919.0	
64.913	91	1590158232548.0	
