time	rating	timestamp	x
2.008	66	1590158169643.0	
8.509	52	1590158176144.0	
17.78	4	1590158185415.0	
19.77	70	1590158187405.0	
20.449	93	1590158188084.0	
22.706	31	1590158190341.0	
23.078	80	1590158190713.0	
25.79	43	1590158193425.0	
27.858	33	1590158195493.0	
39.977	45	1590158207612.0	
43.18	32	1590158210815.0	
46.347	16	1590158213982.0	
46.462	69	1590158214097.0	
49.667	8	1590158217302.0	
52.255	35	1590158219890.0	
60.717	30	1590158228352.0	
61.791	26	1590158229426.0	
63.511	77	1590158231146.0	
67.621	94	1590158235256.0	
68.389	82	1590158236024.0	
70.374	11	1590158238009.0	
