time	rating	timestamp	x
2.024	73	1590158169659.0	
6.177	31	1590158173812.0	
7.031	13	1590158174666.0	
14.269	8	1590158181904.0	
15.027	21	1590158182662.0	
21.78	3	1590158189415.0	
24.085	67	1590158191720.0	
24.62	36	1590158192255.0	
27.988	90	1590158195623.0	
29.039	14	1590158196674.0	
30.268	93	1590158197903.0	
40.567	97	1590158208202.0	
44.559	16	1590158212194.0	
45.573	10	1590158213208.0	
51.045	34	1590158218680.0	
51.227	29	1590158218862.0	
53.165	4	1590158220800.0	
56.755	55	1590158224390.0	
56.8	80	1590158224435.0	
58.152	68	1590158225787.0	
61.024	44	1590158228659.0	
63.273	25	1590158230908.0	
68.076	39	1590158235711.0	
