time	rating	timestamp	x
2.35	0	1590158169985.0	
15.737	66	1590158183372.0	
15.892	15	1590158183527.0	
17.667	77	1590158185302.0	
22.005	13	1590158189640.0	
22.728	53	1590158190363.0	
23.709	5	1590158191344.0	
25.078	24	1590158192713.0	
25.314	19	1590158192949.0	
33.914	84	1590158201549.0	
36.812	3	1590158204447.0	
40.635	87	1590158208270.0	
42.143	90	1590158209778.0	
43.743	50	1590158211378.0	
43.782	6	1590158211417.0	
44.453	98	1590158212088.0	
49.396	89	1590158217031.0	
52.793	99	1590158220428.0	
54.267	62	1590158221902.0	
58.753	81	1590158226388.0	
67.536	60	1590158235171.0	
67.737	59	1590158235372.0	
