time	rating	timestamp	x
0.341	17	1590158167976.0	
5.872	47	1590158173507.0	
8.569	67	1590158176204.0	
8.98	83	1590158176615.0	
15.176	92	1590158182811.0	
16.116	57	1590158183751.0	
18.583	2	1590158186218.0	
19.346	72	1590158186981.0	
23.83	58	1590158191465.0	
25.425	43	1590158193060.0	
26.337	88	1590158193972.0	
31.176	90	1590158198811.0	
36.245	87	1590158203880.0	
41.359	59	1590158208994.0	
44.361	44	1590158211996.0	
47.982	48	1590158215617.0	
54.065	60	1590158221700.0	
65.114	86	1590158232749.0	
67.401	20	1590158235036.0	
