time	rating	timestamp	x
4.538	35	1590158172173.0	
4.93	97	1590158172565.0	
10.099	17	1590158177734.0	
10.647	45	1590158178282.0	
13.613	69	1590158181248.0	
15.582	37	1590158183217.0	
26.317	56	1590158193952.0	
31.032	3	1590158198667.0	
31.421	63	1590158199056.0	
32.941	38	1590158200576.0	
38.419	66	1590158206054.0	
38.555	57	1590158206190.0	
51.399	49	1590158219034.0	
56.801	29	1590158224436.0	
57.78	28	1590158225415.0	
57.877	23	1590158225512.0	
59.428	85	1590158227063.0	
59.84	44	1590158227475.0	
63.058	71	1590158230693.0	
70.208	54	1590158237843.0	
