time	rating	timestamp	x
2.6	36	1590158170235.0	
4.125	77	1590158171760.0	
5.124	2	1590158172759.0	
8.901	23	1590158176536.0	
14.443	42	1590158182078.0	
19.35	99	1590158186985.0	
29.822	27	1590158197457.0	
39.489	47	1590158207124.0	
49.48	43	1590158217115.0	
51.152	24	1590158218787.0	
52.92	58	1590158220555.0	
52.98	67	1590158220615.0	
53.697	96	1590158221332.0	
59.377	31	1590158227012.0	
60.222	90	1590158227857.0	
65.551	91	1590158233186.0	
67.486	70	1590158235121.0	
68.711	95	1590158236346.0	
