time	rating	timestamp	x
9.091	50	1590158176726.0	
15.186	89	1590158182821.0	
17.741	70	1590158185376.0	
20.482	18	1590158188117.0	
20.551	11	1590158188186.0	
26.412	4	1590158194047.0	
28.09	66	1590158195725.0	
29.621	51	1590158197256.0	
32.312	36	1590158199947.0	
32.65	79	1590158200285.0	
35.902	94	1590158203537.0	
47.254	54	1590158214889.0	
50.192	71	1590158217827.0	
50.452	35	1590158218087.0	
51.251	21	1590158218886.0	
56.839	61	1590158224474.0	
58.625	52	1590158226260.0	
64.554	98	1590158232189.0	
