time	rating	timestamp	x
3.597	72	1590158171232.0	
4.893	50	1590158172528.0	
8.068	46	1590158175703.0	
8.576	7	1590158176211.0	
13.475	44	1590158181110.0	
16.866	62	1590158184501.0	
17.483	2	1590158185118.0	
17.707	35	1590158185342.0	
19.823	42	1590158187458.0	
23.316	37	1590158190951.0	
26.927	38	1590158194562.0	
27.15	71	1590158194785.0	
30.392	77	1590158198027.0	
32.036	61	1590158199671.0	
38.762	6	1590158206397.0	
47.745	60	1590158215380.0	
50.637	83	1590158218272.0	
57.456	63	1590158225091.0	
58.683	11	1590158226318.0	
67.334	15	1590158234969.0	
