time	rating	timestamp	x
0.1	26	1590158167735.0	
0.383	38	1590158168018.0	
5.259	0	1590158172894.0	
7.903	84	1590158175538.0	
14.231	46	1590158181866.0	
15.812	5	1590158183447.0	
20.776	72	1590158188411.0	
22.684	9	1590158190319.0	
23.749	92	1590158191384.0	
29.016	34	1590158196651.0	
30.68	95	1590158198315.0	
31.174	16	1590158198809.0	
33.612	71	1590158201247.0	
34.445	18	1590158202080.0	
36.405	48	1590158204040.0	
36.747	35	1590158204382.0	
48.276	27	1590158215911.0	
51.734	68	1590158219369.0	
55.249	13	1590158222884.0	
57.267	83	1590158224902.0	
60.532	81	1590158228167.0	
62.851	37	1590158230486.0	
65.787	7	1590158233422.0	
69.294	52	1590158236929.0	
