time	rating	timestamp	x
0.066	15	1590158167701.0	
6.784	5	1590158174419.0	
11.554	99	1590158179189.0	
14.547	17	1590158182182.0	
31.049	68	1590158198684.0	
34.594	53	1590158202229.0	
36.889	4	1590158204524.0	
39.026	14	1590158206661.0	
39.623	65	1590158207258.0	
40.494	64	1590158208129.0	
43.329	70	1590158210964.0	
46.039	94	1590158213674.0	
48.23	52	1590158215865.0	
52.706	83	1590158220341.0	
56.721	54	1590158224356.0	
59.297	66	1590158226932.0	
61.322	29	1590158228957.0	
61.442	20	1590158229077.0	
62.601	26	1590158230236.0	
64.924	75	1590158232559.0	
65.691	62	1590158233326.0	
67.61	22	1590158235245.0	
68.255	11	1590158235890.0	
69.544	86	1590158237179.0	
