time	rating	timestamp	x
2.063	96	1590158169698.0	
3.799	3	1590158171434.0	
4.085	60	1590158171720.0	
20.699	42	1590158188334.0	
32.089	72	1590158199724.0	
33.96	46	1590158201595.0	
36.606	27	1590158204241.0	
41.148	69	1590158208783.0	
49.108	26	1590158216743.0	
50.199	78	1590158217834.0	
52.604	4	1590158220239.0	
52.808	11	1590158220443.0	
53.785	15	1590158221420.0	
55.92	45	1590158223555.0	
58.191	95	1590158225826.0	
67.126	86	1590158234761.0	
70.481	53	1590158238116.0	
70.574	67	1590158238209.0	
