time	rating	timestamp	x
5.949	6	1590158173584.0	
7.959	99	1590158175594.0	
9.58	76	1590158177215.0	
11.131	26	1590158178766.0	
14.507	85	1590158182142.0	
18.83	35	1590158186465.0	
21.429	11	1590158189064.0	
27.313	3	1590158194948.0	
28.276	74	1590158195911.0	
30.905	18	1590158198540.0	
31.817	8	1590158199452.0	
38.714	24	1590158206349.0	
41.8	5	1590158209435.0	
42.973	28	1590158210608.0	
45.658	82	1590158213293.0	
46.889	39	1590158214524.0	
48.651	2	1590158216286.0	
53.026	80	1590158220661.0	
53.996	14	1590158221631.0	
65.055	41	1590158232690.0	
66.048	84	1590158233683.0	
