time	rating	timestamp	x
3.551	73	1590158171186.0	
5.224	95	1590158172859.0	
6.445	33	1590158174080.0	
7.676	18	1590158175311.0	
8.332	34	1590158175967.0	
9.531	62	1590158177166.0	
9.955	79	1590158177590.0	
12.472	83	1590158180107.0	
17.922	13	1590158185557.0	
26.986	58	1590158194621.0	
30.439	6	1590158198074.0	
30.732	94	1590158198367.0	
32.328	7	1590158199963.0	
35.329	71	1590158202964.0	
36.936	16	1590158204571.0	
40.102	96	1590158207737.0	
46.76	11	1590158214395.0	
54.267	9	1590158221902.0	
58.179	89	1590158225814.0	
59.112	78	1590158226747.0	
59.895	59	1590158227530.0	
62.086	57	1590158229721.0	
