time	rating	timestamp	x
3.516	88	1590158171151.0	
5.369	82	1590158173004.0	
11.511	16	1590158179146.0	
12.605	10	1590158180240.0	
21.509	53	1590158189144.0	
27.33	25	1590158194965.0	
28.117	23	1590158195752.0	
34.127	41	1590158201762.0	
35.063	58	1590158202698.0	
37.117	74	1590158204752.0	
48.446	99	1590158216081.0	
49.034	95	1590158216669.0	
49.049	36	1590158216684.0	
52.207	94	1590158219842.0	
54.902	79	1590158222537.0	
56.512	52	1590158224147.0	
57.252	57	1590158224887.0	
62.562	73	1590158230197.0	
69.197	18	1590158236832.0	
