time	rating	timestamp	x
9.582	91	1590158177217.0	
15.44	62	1590158183075.0	
15.822	12	1590158183457.0	
17.252	83	1590158184887.0	
24.614	96	1590158192249.0	
26.467	90	1590158194102.0	
26.609	38	1590158194244.0	
30.442	50	1590158198077.0	
42.611	72	1590158210246.0	
43.872	61	1590158211507.0	
44.611	18	1590158212246.0	
48.251	75	1590158215886.0	
51.26	53	1590158218895.0	
57.084	39	1590158224719.0	
58.683	44	1590158226318.0	
58.864	92	1590158226499.0	
59.791	84	1590158227426.0	
61.673	5	1590158229308.0	
65.096	29	1590158232731.0	
