time	rating	timestamp	x
0.831	21	1590158168466.0	
3.222	44	1590158170857.0	
8.864	59	1590158176499.0	
15.04	49	1590158182675.0	
15.38	68	1590158183015.0	
25.748	74	1590158193383.0	
26.292	46	1590158193927.0	
27.801	62	1590158195436.0	
32.7	84	1590158200335.0	
44.074	92	1590158211709.0	
53.852	69	1590158221487.0	
57.602	3	1590158225237.0	
62.392	57	1590158230027.0	
64.032	29	1590158231667.0	
64.343	38	1590158231978.0	
66.145	91	1590158233780.0	
68.673	7	1590158236308.0	
70.263	88	1590158237898.0	
