time	rating	timestamp	x
1.599	43	1590158169234.0	
3.188	61	1590158170823.0	
6.001	56	1590158173636.0	
6.916	24	1590158174551.0	
8.213	29	1590158175848.0	
8.65	0	1590158176285.0	
12.662	45	1590158180297.0	
19.629	55	1590158187264.0	
19.642	52	1590158187277.0	
19.858	65	1590158187493.0	
20.562	68	1590158188197.0	
25.862	16	1590158193497.0	
28.285	96	1590158195920.0	
28.655	41	1590158196290.0	
31.522	21	1590158199157.0	
31.741	32	1590158199376.0	
34.896	82	1590158202531.0	
36.029	49	1590158203664.0	
49.463	66	1590158217098.0	
52.842	42	1590158220477.0	
59.297	70	1590158226932.0	
60.211	12	1590158227846.0	
63.072	20	1590158230707.0	
65.666	40	1590158233301.0	
