time	rating	timestamp	x
0.352	28	1590158167987.0	
1.157	21	1590158168792.0	
1.487	32	1590158169122.0	
1.736	42	1590158169371.0	
4.247	93	1590158171882.0	
6.866	35	1590158174501.0	
7.84	50	1590158175475.0	
9.919	17	1590158177554.0	
11.683	81	1590158179318.0	
12.164	48	1590158179799.0	
19.091	78	1590158186726.0	
23.537	2	1590158191172.0	
25.796	66	1590158193431.0	
29.487	56	1590158197122.0	
32.01	33	1590158199645.0	
47.838	82	1590158215473.0	
50.289	64	1590158217924.0	
53.7	80	1590158221335.0	
59.626	19	1590158227261.0	
