time	rating	timestamp	x
0.036	95	1590158167671.0	
2.252	66	1590158169887.0	
6.498	78	1590158174133.0	
8.883	85	1590158176518.0	
11.956	99	1590158179591.0	
13.142	56	1590158180777.0	
17.182	47	1590158184817.0	
20.405	43	1590158188040.0	
22.047	36	1590158189682.0	
22.387	1	1590158190022.0	
22.521	59	1590158190156.0	
22.544	58	1590158190179.0	
29.214	75	1590158196849.0	
32.075	28	1590158199710.0	
51.331	55	1590158218966.0	
56.431	13	1590158224066.0	
60.946	16	1590158228581.0	
69.048	72	1590158236683.0	
