time	rating	timestamp	x
5.351	64	1590158172986.0	
9.792	44	1590158177427.0	
10.609	60	1590158178244.0	
11.168	49	1590158178803.0	
18.104	2	1590158185739.0	
19.854	28	1590158187489.0	
21.916	48	1590158189551.0	
22.627	61	1590158190262.0	
24.77	45	1590158192405.0	
31.431	23	1590158199066.0	
36.125	84	1590158203760.0	
38.169	39	1590158205804.0	
38.636	11	1590158206271.0	
38.853	21	1590158206488.0	
39.835	87	1590158207470.0	
41.063	66	1590158208698.0	
41.323	0	1590158208958.0	
44.253	47	1590158211888.0	
44.682	63	1590158212317.0	
49.585	73	1590158217220.0	
50.807	76	1590158218442.0	
51.614	24	1590158219249.0	
65.546	68	1590158233181.0	
67.471	79	1590158235106.0	
70.696	52	1590158238331.0	
